ru_roman_abramovich	Роман Абрамович	Абрамович Роман	["Roman Abramovich","Абрамович"]
ru_marina_aleksandrova	Марина Александрова	Александрова Марина	["Marina Aleksandrova","Марина Андреевна Александрова"]
ru_paulina_andreeva	Паулина Андреева	Андреева Паулина	["Paulina Andreeva"]
ru_anna_asti	Анна Асти	Асти Анна	["ANNA ASTI","Анна Дзюба"]
ru_nikolay_baskov	Николай Басков	Басков Николай	["Nikolay Baskov"]
ru_basta	Баста	Баста	["Василий Вакуленко","Basta"]
ru_timur_batrutdinov	Тимур Батрутдинов	Батрутдинов Тимур	["Timur Batrutdinov"]
ru_sergey_bezrukov	Сергей Безруков	Безруков Сергей	["Sergey Bezrukov"]
ru_dima_bilan	Дима Билан	Билан Дима	["Dima Bilan","Виктор Белан"]
ru_elizaveta_boyarskaya	Елизавета Боярская	Боярская Елизавета	["Elizaveta Boyarskaya"]
ru_olga_buzova	Ольга Бузова	Бузова Ольга	["Olga Buzova"]
ru_valeriya	Валерия	Валерия	["Алла Перфилова","Valeriya"]
ru_natalya_vodyanova	Наталья Водянова	Водянова Наталья	["Natalia Vodianova"]
ru_pavel_volya	Павел Воля	Воля Павел	["Pavel Volya"]
ru_polina_gagarina	Полина Гагарина	Гагарина Полина	["Polina Gagarina"]
ru_ida_galich	Ида Галич	Галич Ида	["Ida Galich"]
ru_mihail_galustyan	Михаил Галустян	Галустян Михаил	["Mikhail Galustyan"]
ru_pavel_derevyanko	Павел Деревянко	Деревянко Павел	["Pavel Derevyanko"]
ru_larisa_dolina	Лариса Долина	Долина Лариса	["Larisa Dolina"]
ru_yaroslav_dronov	Ярослав Дронов	Дронов Ярослав	["SHAMAN","Shaman","Шаман"]
ru_pavel_durov	Павел Дуров	Дуров Павел	["Pavel Durov"]
ru_alina_zagitova	Алина Загитова	Загитова Алина	["Alina Zagitova"]
ru_zivert	Зиверт	Зиверт	["Zivert","Юлия Зиверт"]
ru_nastya_ivleeva	Настя Ивлеева	Ивлеева Настя	["Anastasia Ivleeva","Анастасия Ивлеева"]
ru_filipp_kirkorov	Филипп Киркоров	Киркоров Филипп	["Philipp Kirkorov"]
ru_danila_kozlovskiy	Данила Козловский	Козловский Данила	["Danila Kozlovsky"]
ru_klava_koka	Клава Кока	Кока Клава	["Klava Koka","Клавдия Высокова"]
ru_yuriy_kolokolnikov	Юрий Колокольников	Колокольников Юрий	["Yuri Kolokolnikov"]
ru_egor_krid	Егор Крид	Крид Егор	["Egor Kreed","Егор Булаткин"]
ru_sergey_lazarev	Сергей Лазарев	Лазарев Сергей	["Sergey Lazarev"]
ru_lev_leschenko	Лев Лещенко	Лещенко Лев	["Lev Leshchenko"]
ru_maksim_matveev	Максим Матвеев	Матвеев Максим	["Maksim Matveyev"]
ru_lolita_milyavskaya	Лолита Милявская	Милявская Лолита	["Lolita Milyavskaya"]
ru_evgeniy_mironov	Евгений Миронов	Миронов Евгений	["Yevgeny Mironov"]
ru_dmitriy_nagiev	Дмитрий Нагиев	Нагиев Дмитрий	["Dmitry Nagiyev"]
ru_habib_nurmagomedov	Хабиб Нурмагомедов	Нурмагомедов Хабиб	["Khabib Nurmagomedov"]
ru_aleksandr_ovechkin	Александр Овечкин	Овечкин Александр	["Alex Ovechkin","Алекс Овечкин"]
ru_yuliya_peresild	Юлия Пересильд	Пересильд Юлия	["Yulia Peresild"]
ru_aleksandr_petrov	Александр Петров	Петров Александр	["Alexander Petrov","Саша Петров"]
ru_andrey_rublev	Андрей Рублёв	Рублёв Андрей	["Andrey Rublev","Андрей Рублев"]
ru_sergey_svetlakov	Сергей Светлаков	Светлаков Сергей	["Sergey Svetlakov"]
ru_kseniya_sobchak	Ксения Собчак	Собчак Ксения	["Ksenia Sobchak"]
ru_timati	Тимати	Тимати	["Timati","Тимур Юнусов"]
ru_regina_todorenko	Регина Тодоренко	Тодоренко Регина	["Regina Todorenko"]
ru_ivan_urgant	Иван Ургант	Ургант Иван	["Ivan Urgant"]
ru_konstantin_habenskiy	Константин Хабенский	Хабенский Константин	["Konstantin Khabensky"]
ru_garik_harlamov	Гарик Харламов	Харламов Гарик	["Игорь Харламов","Garik Kharlamov"]
ru_svetlana_hodchenkova	Светлана Ходченкова	Ходченкова Светлана	["Svetlana Khodchenkova"]
ru_mariya_sharapova	Мария Шарапова	Шарапова Мария	["Maria Sharapova"]
ru_irina_sheyk	Ирина Шейк	Шейк Ирина	["Irina Shayk"]
