us_ben_affleck	Ben Affleck	Affleck Ben	["Бен Аффлек"]
us_jennifer_aniston	Jennifer Aniston	Aniston Jennifer	["Дженнифер Энистон"]
us_jeff_bezos	Jeff Bezos	Bezos Jeff	["Джефф Безос"]
us_sandra_bullock	Sandra Bullock	Bullock Sandra	["Сандра Буллок"]
us_george_clooney	George Clooney	Clooney George	["Джордж Клуни"]
us_tom_cruise	Tom Cruise	Cruise Tom	["Том Круз"]
us_stephen_curry	Stephen Curry	Curry Stephen	["Steph Curry","Стефен Карри"]
us_miley_cyrus	Miley Cyrus	Cyrus Miley	["Майли Сайрус"]
us_matt_damon	Matt Damon	Damon Matt	["Мэтт Деймон"]
us_johnny_depp	Johnny Depp	Depp Johnny	["Джонни Депп"]
us_leonardo_dicaprio	Leonardo DiCaprio	DiCaprio Leonardo	["Леонардо Ди Каприо"]
us_robert_downey_jr	Robert Downey Jr.	Downey Robert	["Robert Downey Junior","Роберт Дауни младший"]
us_billie_eilish	Billie Eilish	Eilish Billie	["Билли Айлиш"]
us_eminem	Eminem	Eminem	["Marshall Mathers","Эминем"]
us_chris_evans	Chris Evans	Evans Chris	["Крис Эванс"]
us_morgan_freeman	Morgan Freeman	Freeman Morgan	["Морган Фримен"]
us_lady_gaga	Lady Gaga	Gaga Lady	["Леди Гага","Stefani Germanotta"]
us_selena_gomez	Selena Gomez	Gomez Selena	["Селена Гомес"]
us_ariana_grande	Ariana Grande	Grande Ariana	["Ариана Гранде"]
us_tom_hanks	Tom Hanks	Hanks Tom	["Том Хэнкс"]
us_kevin_hart	Kevin Hart	Hart Kevin	["Кевин Харт"]
us_anne_hathaway	Anne Hathaway	Hathaway Anne	["Энн Хэтэуэй"]
us_samuel_l_jackson	Samuel L. Jackson	Jackson Samuel	["Сэмюэл Л. Джексон"]
us_lebron_james	LeBron James	James LeBron	["Леброн Джеймс"]
us_scarlett_johansson	Scarlett Johansson	Johansson Scarlett	["Скарлетт Йоханссон"]
us_dwayne_johnson	Dwayne Johnson	Johnson Dwayne	["The Rock","Дуэйн Джонсон","Скала"]
us_angelina_jolie	Angelina Jolie	Jolie Angelina	["Анджелина Джоли"]
us_michael_jordan	Michael Jordan	Jordan Michael	["Майкл Джордан"]
us_kim_kardashian	Kim Kardashian	Kardashian Kim	["Ким Кардашьян"]
us_beyonce	Beyoncé	Knowles Beyoncé	["Beyonce","Бейонсе"]
us_jennifer_lawrence	Jennifer Lawrence	Lawrence Jennifer	["Дженнифер Лоуренс"]
us_jennifer_lopez	Jennifer Lopez	Lopez Jennifer	["J.Lo","Дженнифер Лопес"]
us_bruno_mars	Bruno Mars	Mars Bruno	["Бруно Марс"]
us_elon_musk	Elon Musk	Musk Elon	["Илон Маск"]
us_katy_perry	Katy Perry	Perry Katy	["Кэти Перри"]
us_brad_pitt	Brad Pitt	Pitt Brad	["Брэд Питт"]
us_natalie_portman	Natalie Portman	Portman Natalie	["Натали Портман"]
us_julia_roberts	Julia Roberts	Roberts Julia	["Джулия Робертс"]
us_will_smith	Will Smith	Smith Will	["Уилл Смит"]
us_snoop_dogg	Snoop Dogg	Snoop Dogg	["Снуп Догг","Calvin Broadus"]
us_emma_stone	Emma Stone	Stone Emma	["Эмма Стоун"]
us_meryl_streep	Meryl Streep	Streep Meryl	["Мерил Стрип"]
us_taylor_swift	Taylor Swift	Swift Taylor	["Тейлор Свифт"]
us_justin_timberlake	Justin Timberlake	Timberlake Justin	["Джастин Тимберлейк"]
us_serena_williams	Serena Williams	Williams Serena	["Серена Уильямс"]
us_oprah_winfrey	Oprah Winfrey	Winfrey Oprah	["Опра Уинфри"]
us_reese_witherspoon	Reese Witherspoon	Witherspoon Reese	["Риз Уизерспун"]
us_tiger_woods	Tiger Woods	Woods Tiger	["Тайгер Вудс"]
us_zendaya	Zendaya	Zendaya	["Зендея","Zendaya Coleman"]
us_mark_zuckerberg	Mark Zuckerberg	Zuckerberg Mark	["Марк Цукерберг"]
