case,mode,path,selected,recognition,all68,central_chin,eyes,inner_face,lower_face,mouth,nose,outline,roll_delta_deg,person_b,outside_support_changes,peak_rss_mib,human_approved
case01,A_baseline,standard,True,0.8292473554611206,0.043300970300529,0.04277556427415849,0.0054878947460703514,0.020611709596537783,0.03891424061478585,0.018724713979386045,0.017212716832579952,0.11528002088502395,0.29777050018310547,True,13168,426.8828125,False
case01,A_baseline,strict,False,0.8211381435394287,0.04272133075821646,0.040364658274442335,0.005816103820905006,0.020361646719079366,0.038113986212887294,0.01836662591032271,0.0173592875282213,0.11333032609128002,0.34930896759033203,True,13230,426.8828125,False
case01,B_mask,standard,False,0.809680700302124,0.03586164838105874,0.05710641270825465,0.0035610452975232804,0.016175107286212694,0.036426409640171784,0.013169981396921878,0.011202823456791067,0.10214444321066314,0.2634878158569336,True,61832,470.8046875,False
case01,B_mask,strict,True,0.8387147188186646,0.0356830500032985,0.0663202700486803,0.0038412892128863404,0.01763348669289518,0.0389683038516915,0.015872559640868783,0.011497973978480522,0.09842352523258817,0.09285545349121094,True,67051,470.8046875,False
case01,C_core,standard,True,0.8685746192932129,0.043655878460476645,0.049768718640684294,0.005160365534186186,0.021912338358897974,0.04066585350259868,0.020341336553592614,0.018168995770474376,0.1138023305796455,0.28143310546875,True,8010,422.0078125,False
case01,C_core,strict,False,0.8740230202674866,0.04272250988430543,0.045508492925855216,0.005443830383177071,0.020578275001626442,0.03789301937522387,0.016963854993369176,0.015199269593821674,0.11355466475426516,0.4407482147216797,True,8008,422.0078125,False
case01,D_mask_core,standard,True,0.8718134760856628,0.03766686215211518,0.06881774968232231,0.003324277730412059,0.018605896037634146,0.03917623044033228,0.015014581159517593,0.015469141887487036,0.10371067584462085,0.3159818649291992,True,0,404.87890625,False
case01,D_mask_core,strict,False,0.873897910118103,0.035687459718283625,0.06394218750432822,0.0038889439847773623,0.016813495783520996,0.035536475984344,0.010936697067540559,0.011290994657414974,0.10062617947330221,0.3117208480834961,True,0,404.87890625,False
case01,E_mask_frequency,standard,True,0.8610191345214844,0.03565333088606449,0.061231372754706914,0.00354502750874203,0.016864115117859364,0.03621069736896883,0.01236675299980992,0.014505160762109885,0.0998504942442412,0.29114818572998047,True,0,403.90625,False
case01,E_mask_frequency,strict,False,0.8721593618392944,0.03749060089109746,0.0703305019714009,0.003532768133384184,0.019779318770557792,0.04140909965507712,0.01708589110276274,0.01622052838477888,0.09954524428815935,0.40816688537597656,True,0,403.90625,False
